sku,nombre_producto,n_puntos,beta,alpha,r2
104537510,MASA MADRE GENUIT START CSM 1kg,1.0,,,
104537550,CARNE DE JAIBA COCIDA IVP 500 GR CONG,44.0,-0.42136424627699887,6.321884622274428,0.0003901956123291436
104537580,CHOC CHIP COOKIE POPPIES,66.0,-0.7495724516004578,8.699130678836829,0.03158174721189424
104537590,CRANBERRY COOKIE POPPIES,54.0,-0.8982160265667536,10.00456165421491,0.24058747225367397
104537600,DOBLE CHOC COOKIE POPPIES,50.0,-1.3620667309405852,14.095924000346162,0.4976399943606291
104537620,ACEITE OLIVA ORO VERDE 8 ML,27.0,1.4600325168808885,-11.238398659543323,0.023303362554541907
104537630,ACEITE OLIVA NUTRICAMPO 500 ML,38.0,3.483177303671051,-30.62203983550459,0.1383425218596147
104537640,ARROZ G2 BLUE BONNET TUCAPEL 1 KG,46.0,-3.4327867240762595,30.79605519746902,0.148119865645052
104537650,"QUESO GOYA LA PAULINA 5,6 KG",6.0,9.223679376084789,-80.33181591481265,0.24891433370976698
104537660,GUANTES NITRILO NEGRO TALLA S 100 UDS,19.0,6.400304853912722,-59.370647411405514,0.03850016458549713
104537670,GUANTES NITRILO NEGRO TALLA M 100 UDS,43.0,10.515663921693017,-99.3248882481473,0.1366878512000493
104537680,GUANTES NITRILO NEGRO TALLA L 100 UDS,44.0,13.410583746057966,-123.49920864191847,0.0760805046548528
104537710,CORDERO ENTERO CARCASA,14.0,-8.279156285295672,77.67254211098182,0.2889788746328617
104537720,PULPA PIERNA CERDO MARINADA NAC 10 KG,79.0,-1.6852716309681723,18.975124320787618,0.012764979851671574
104537730,CHULETA CORDERO SARATOGA,17.0,-11.226404472788184,111.55454335439272,0.28552619417155684
104537740,MAYONESA DELI SACHET KRAFT 7 G,28.0,-4.525958989990612,43.036393023056256,0.049867801870867576
104537750,VASO 12 OZ RECUBIERTO EN PLA,17.0,2.765898393165845,-22.111240856669415,0.1781567639928908
104537760,VASO 8 OZ RECUBIERTO EN PLA,13.0,0.7494174025100883,-3.9199095244439675,0.008737709229167834
104537770,TAPA VASO 12 OZ CPLA BIODEGRADABLE,15.0,-7.6724946365182,74.06853356437439,0.4948498858434745
104537780,TAPA VASO 8 OZ CPLA BIODEGRADABLE,24.0,-4.681020817459283,46.872576139400834,0.5495442846088208
104537810,BOLSA KRAFT C/MANILLA 300 UN,41.0,-27.493512489177355,239.89886728339437,0.037099509833061865
104537820,TAPA POCILLO SALSAS 2 OZ CAÑA DE AZUCAR,5.0,,,
104537830,POCILLO SALSAS 2 OZ CAÑA DE AZUCAR,21.0,4.877611187408626,-41.59384269662703,0.2438071482206647
104537850,BOWL PAPEL KRAFT BLANCO 4 OZ PLA COMPOST,4.0,,,
104537880,YOGHURT LIGHT VAINILLA BOLSA 900GR COLUN,33.0,17.403582844491034,-125.72023133680099,0.3686394346612434
104537890,YOGHURT LIGHT FRUTILLA BOLSA 900GR COLUN,35.0,8.058622486320628,-57.471379917480114,0.13801035322479488
104537900,QUESO PARMIGIANO REGGIANO GRANAROLO 200G,37.0,-4.706256479571541,49.058141498792715,0.05914035088211668
104537910, QUESO GRANA PADANO DOP GRANAROLO 200G,42.0,-0.9843234573325194,11.291761330585974,0.013958831829260396
104537920,YOGHURT LIGHT DAMASCO BOLSA 900GR COLUN,26.0,11.912681036090982,-85.77965314992495,0.2910428841581707
104537930,"QUESO CREMA BAKING CHEEZE 1,36 KG",85.0,-2.0984343343214995,22.135502995200223,0.18200098105541374
104537940,ROLLO DE CANELA GLASEADO 114 G,83.0,-0.027789820223592464,3.4734304329680668,1.074177160304236e-05
104537950,GLASEADO CHOCOLATE CSM 16kg,7.0,2.434441304172507,-14.587039103595936,0.024580405082731835
104537960,PAPAYA AL JUGO FRASCO SAN AMBROSIO 1 KG,41.0,2.7120790236530032,-21.293806224675475,0.010500062493537165
104538000,JUGO LIMON CONGELADO 10x1 KG GUALLARAUCO,7.0,-1.6444352924777377,17.15757782592311,0.08519108251569678
104538030,FRUTILLA CONGELADO 10 x 1 KG GUALLARAUCO,1.0,,,
104538040,FRAMBUESA CONGELADO 10x1 KG GUALLARAUCO,1.0,,,
104538050,CHIRIMOYA CONGELADO 10x1 KG GUALLARAUCO,2.0,,,
104538060,PANKO BLANCO MAYAMOTO 1 KG,94.0,-4.4548744039113695,38.636467463387184,0.012253843259627114
104538070,SALSA CHILIS BOLSA 1 KG,1.0,,,
104538080,40712 TOALLA 1H PLUS 200 M,5.0,1.2310064678914818,-10.107898426218252,0.06249999999999997
104538090,51003 HIGIENICO PLUS 1H 400 M,2.0,,,
104538100,"PULPO LIMPIO IMP 0,9-1,8 CJ10KG IWP CONG",42.0,-3.407971877858275,32.81461108690197,0.046521062879434034
104538110,"MAYONESA ALACENA 1,9 KG",76.0,-20.592638350791713,172.9589444126133,0.3964384460604511
104538120,TOMAHAWK STEAK CERTIFIED ANGUS BEEF,4.0,-5.690887865669177,59.61314401395681,0.7665905966847435
104538130,ENTRECOT STEAK CERTIFIED ANGUS BEEF,2.0,2.491325984167685,-22.880167963350253,1.0
104538140,TE TWINING FRUTOS ROJOS 10 BOLSAS,15.0,4.000117785936044,-36.49585212047945,0.01953636919982862
104538150,TE TWINING EARL GREY 10 BOLSAS,35.0,0.17667314578976517,-0.6990803105585122,0.044974483131862905
104538160,TE TWINING TE VERDE 10 BOLSAS,16.0,-9.391574433514092,91.09841745284696,0.019860250111873243
104538170,TWININGS MANZANILLA 10X12,17.0,7.696349486346647,-71.625178555691,0.23479199916098728
104538180,TE TWINING LIMON JENGIBRE 10 BOLSAS,15.0,22.958068055526194,-217.45672553796288,0.08295727869102618
104538190,TE TWINING INDIAN CHAI 10 BOLSAS,22.0,-25.285432047045383,240.97587537813928,0.05113099780261135
